eixo;rotulo_kmz;altura_m;cota_eixo_m;cota_NA_m;cota_crista_m;area_controlada_km2;L_crista_m;V_aterro_hm3;area_alagada_km2;volume_hm3;custo_total_MRS
E09;EIXO#06;110;149,5;259,5;262,5;8173,5;472,5;7,499;22,13;808,7;1050,7
E09;EIXO#06;115;149,5;264,5;267,5;8173,5;472,5;8,323;24,32;924,8;1164,1
E09;EIXO#06;120;149,5;269,5;272,5;8173,5;501,1;9,198;26,37;1051,7;1283,2
E01;EIXO-FQ2-PROPOSTO — Forqueta intermediário#07;10;40,0;50,0;53,0;2204,2;472,5;0,094;1,52;5,5;25,8
E01;EIXO-FQ2-PROPOSTO — Forqueta intermediário#07;15;40,0;55,0;58,0;2204,2;1030,9;0,263;4,45;20,6;70,1
E01;EIXO-FQ2-PROPOSTO — Forqueta intermediário#07;20;40,0;60,0;63,0;2204,2;1102,5;0,542;7,35;50,0;122,4
E01;EIXO-FQ2-PROPOSTO — Forqueta intermediário#07;25;40,0;65,0;68,0;2204,2;2162,1;1,572;9,9;93,6;274,5
E01;EIXO-FQ2-PROPOSTO — Forqueta intermediário#07;30;40,0;70,0;73,0;2204,2;2205,1;2,512;12,24;149,0;403,4
E01;EIXO-FQ2-PROPOSTO — Forqueta intermediário#07;35;40,0;75,0;78,0;2204,2;2233,7;3,7;14,39;215,8;561,1
E01;EIXO-FQ2-PROPOSTO — Forqueta intermediário#07;40;40,0;80,0;83,0;2204,2;2319,6;5,141;16,62;293,4;750,7
E01;EIXO-FQ2-PROPOSTO — Forqueta intermediário#07;45;40,0;85,0;88,0;2204,2;2362,6;6,846;18,72;381,7;971,1
E01;EIXO-FQ2-PROPOSTO — Forqueta intermediário#07;50;40,0;90,0;93,0;2204,2;2405,5;8,818;20,94;481,0;1224,6
E01;EIXO-FQ2-PROPOSTO — Forqueta intermediário#07;55;40,0;95,0;98,0;2204,2;2563,0;11,065;22,79;590,3;1510,6
E01;EIXO-FQ2-PROPOSTO — Forqueta intermediário#07;60;40,0;100,0;103,0;2204,2;2606,0;13,601;24,65;709,0;1830,4
E01;EIXO-FQ2-PROPOSTO — Forqueta intermediário#07;65;40,0;105,0;108,0;2204,2;2691,9;16,429;26,72;837,4;2187,5
E01;EIXO-FQ2-PROPOSTO — Forqueta intermediário#07;70;40,0;110,0;113,0;2204,2;2734,8;19,559;28,98;976,5;2582,0
E01;EIXO-FQ2-PROPOSTO — Forqueta intermediário#07;75;40,0;115,0;118,0;2204,2;2820,7;22,998;31,15;1126,7;3013,9
E01;EIXO-FQ2-PROPOSTO — Forqueta intermediário#07;80;40,0;120,0;123,0;2204,2;2849,4;26,754;33,67;1288,9;3486,0
E01;EIXO-FQ2-PROPOSTO — Forqueta intermediário#07;85;40,0;125,0;128,0;2204,2;2849,4;30,829;36,28;1463,7;3996,9
E01;EIXO-FQ2-PROPOSTO — Forqueta intermediário#07;90;40,0;130,0;133,0;2204,2;3164,4;35,269;38,82;1651,4;4555,2
E01;EIXO-FQ2-PROPOSTO — Forqueta intermediário#07;95;40,0;135,0;138,0;2204,2;3207,3;40,059;41,31;1852,0;5152,8
E01;EIXO-FQ2-PROPOSTO — Forqueta intermediário#07;100;40,0;140,0;143,0;2204,2;3293,3;45,213;43,77;2064,5;5794,9
E01;EIXO-FQ2-PROPOSTO — Forqueta intermediário#07;105;40,0;145,0;148,0;2204,2;3336,2;50,74;46,38;2290,1;6482,7
E01;EIXO-FQ2-PROPOSTO — Forqueta intermediário#07;110;40,0;150,0;153,0;2204,2;3379,2;56,642;48,85;2528,4;7215,3
E01;EIXO-FQ2-PROPOSTO — Forqueta intermediário#07;115;40,0;155,0;158,0;2204,2;3379,2;62,923;51,41;2779,4;7994,0
E01;EIXO-FQ2-PROPOSTO — Forqueta intermediário#07;120;40,0;160,0;163,0;2204,2;3422,1;69,584;54,07;3042,9;8819,9
E10;EIXO#08;10;148,5;158,5;161,5;11950,1;257,7;0,105;1,97;14,1;27,5
E10;EIXO#08;15;148,5;163,5;166,5;11950,1;257,7;0,193;2,58;25,5;41,9
E10;EIXO#08;20;148,5;168,5;171,5;11950,1;300,7;0,311;3,19;39,9;60,4
E10;EIXO#08;25;148,5;173,5;176,5;11950,1;300,7;0,462;3,99;57,7;83,6
E10;EIXO#08;30;148,5;178,5;181,5;11950,1;329,3;0,646;4,65;79,3;110,3
E10;EIXO#08;35;148,5;183,5;186,5;11950,1;329,3;0,865;5,32;104,1;141,0
E10;EIXO#08;40;148,5;188,5;191,5;11950,1;329,3;1,119;6,15;132,8;176,9
E10;EIXO#08;45;148,5;193,5;196,5;11950,1;329,3;1,409;7,21;166,1;218,6
E10;EIXO#08;50;148,5;198,5;201,5;11950,1;372,3;1,736;8,1;204,4;264,1
E10;EIXO#08;55;148,5;203,5;206,5;11950,1;415,2;2,106;8,91;247,1;314,5
E10;EIXO#08;60;148,5;208,5;211,5;11950,1;415,2;2,52;9,89;294,2;370,7
E10;EIXO#08;65;148,5;213,5;216,5;11950,1;415,2;2,98;10,89;346,2;432,7
E10;EIXO#08;70;148,5;218,5;221,5;11950,1;415,2;3,485;11,95;403,3;500,5
E10;EIXO#08;75;148,5;223,5;226,5;11950,1;415,2;4,036;13,07;465,8;574,3
E10;EIXO#08;80;148,5;228,5;231,5;11950,1;501,1;4,634;14,18;534,1;654,6
E10;EIXO#08;85;148,5;233,5;236,5;11950,1;501,1;5,288;15,28;607,8;740,7
E10;EIXO#08;90;148,5;238,5;241,5;11950,1;501,1;5,997;16,88;687,5;836,6
E10;EIXO#08;95;148,5;243,5;246,5;11950,1;501,1;6,761;23,02;793,3;966,7
E10;EIXO#08;100;148,5;248,5;251,5;11950,1;501,1;7,58;24,92;913,1;1077,7
E10;EIXO#08;105;148,5;253,5;256,5;11950,1;544,1;8,453;27,95;1043,9;1202,7
E10;EIXO#08;110;148,5;258,5;261,5;11950,1;587,1;9,389;30,34;1189,6;1331,4
E10;EIXO#08;115;148,5;263,5;266,5;11950,1;587,1;10,39;33,01;1347,6;1469,3
E10;EIXO#08;120;148,5;268,5;271,5;11950,1;630,0;11,456;35,71;1519,5;1615,7
E11;EIXO#09;10;106,0;116,0;119,0;12330,0;272,1;0,104;2,28;14,6;29,5
E11;EIXO#09;15;106,0;121,0;124,0;12330,0;272,1;0,195;2,74;27,1;43,3
E11;EIXO#09;20;106,0;126,0;129,0;12330,0;272,1;0,315;3,43;42,7;62,1
E11;EIXO#09;25;106,0;131,0;134,0;12330,0;272,1;0,463;4,2;61,7;84,7
E11;EIXO#09;30;106,0;136,0;139,0;12330,0;300,7;0,642;4,95;84,5;111,3
E11;EIXO#09;35;106,0;141,0;144,0;12330,0;329,3;0,855;5,75;111,3;142,3
E11;EIXO#09;40;106,0;146,0;149,0;12330,0;329,3;1,104;6,55;142,0;177,5
E11;EIXO#09;45;106,0;151,0;154,0;12330,0;329,3;1,389;8,61;178,8;224,6
E11;EIXO#09;50;106,0;156,0;159,0;12330,0;358,0;1,712;9,74;224,8;271,0
E11;EIXO#09;55;106,0;161,0;164,0;12330,0;358,0;2,073;10,96;276,4;322,3
E11;EIXO#09;60;106,0;166,0;169,0;12330,0;386,6;2,474;12,3;334,5;379,5
E11;EIXO#09;65;106,0;171,0;174,0;12330,0;415,2;2,918;13,75;399,4;442,5
E11;EIXO#09;70;106,0;176,0;179,0;12330,0;443,9;3,407;15,21;471,9;511,1
E11;EIXO#09;75;106,0;181,0;184,0;12330,0;443,9;3,946;16,67;551,6;585,5
E11;EIXO#09;80;106,0;186,0;189,0;12330,0;472,5;4,533;18,22;638,7;666,5
E11;EIXO#09;85;106,0;191,0;194,0;12330,0;472,5;5,172;19,98;734,1;754,9
E11;EIXO#09;90;106,0;196,0;199,0;12330,0;529,8;5,867;21,89;838,9;851,5
E11;EIXO#09;95;106,0;201,0;204,0;12330,0;529,8;6,62;23,58;952,6;953,3
E11;EIXO#09;100;106,0;206,0;209,0;12330,0;558,4;7,432;25,32;1074,9;1062,8
E11;EIXO#09;105;106,0;211,0;214,0;12330,0;587,1;8,305;27,14;1206,0;1180,3
E11;EIXO#09;110;106,0;216,0;219,0;12330,0;587,1;9,242;29,05;1346,5;1305,7
E11;EIXO#09;115;106,0;221,0;224,0;12330,0;615,7;10,244;31,04;1496,7;1439,9
E11;EIXO#09;120;106,0;226,0;229,0;12330,0;615,7;11,314;33,02;1657,0;1581,9
E13;EIXO#10;10;57,5;67,5;70,5;15456,5;358,0;0,104;3,6;17,2;38,4
E13;EIXO#10;15;57,5;72,5;75,5;15456,5;358,0;0,207;5,83;40,0;64,4
E13;EIXO#10;20;57,5;77,5;80,5;15456,5;415,2;0,352;8,32;76,0;97,8
E13;EIXO#10;25;57,5;82,5;85,5;15456,5;443,9;0,544;10,26;122,6;133,2
E13;EIXO#10;30;57,5;87,5;90,5;15456,5;472,5;0,786;11,98;178,2;173,4
E13;EIXO#10;35;57,5;92,5;95,5;15456,5;501,1;1,082;13,73;242,6;220,3
E13;EIXO#10;40;57,5;97,5;100,5;15456,5;529,8;1,436;15,52;315,7;274,5
E13;EIXO#10;45;57,5;102,5;105,5;15456,5;587,1;1,852;17,09;397,2;335,2
E13;EIXO#10;50;57,5;107,5;110,5;15456,5;587,1;2,333;26,78;504,6;452,5
E13;EIXO#10;55;57,5;112,5;115,5;15456,5;615,7;2,882;30,32;647,4;541,0
E13;EIXO#10;60;57,5;117,5;120,5;15456,5;644,3;3,498;33,62;807,4;636,2
E13;EIXO#10;65;57,5;122,5;125,5;15456,5;644,3;4,186;36,77;983,5;739,0
E13;EIXO#10;70;57,5;127,5;130,5;15456,5;644,3;4,944;40,17;1176,3;851,7
E13;EIXO#10;75;57,5;132,5;135,5;15456,5;673,0;5,775;43,49;1385,4;973,1
E13;EIXO#10;80;57,5;137,5;140,5;15456,5;673,0;6,68;46,89;1611,3;1103,8
E13;EIXO#10;85;57,5;142,5;145,5;15456,5;730,2;7,663;50,5;1854,9;1245,7
E13;EIXO#10;90;57,5;147,5;150,5;15456,5;730,2;8,727;54,17;2116,5;1397,3
E13;EIXO#10;95;57,5;152,5;155,5;15456,5;730,2;9,872;59,09;2400,5;1566,3
E13;EIXO#10;100;57,5;157,5;160,5;15456,5;758,9;11,097;63,17;2705,9;1740,3
E13;EIXO#10;105;57,5;162,5;165,5;15456,5;787,5;12,407;67,32;3031,9;1925,0
E13;EIXO#10;110;57,5;167,5;170,5;15456,5;787,5;13,804;71,82;3380,0;2122,0
E13;EIXO#10;115;57,5;172,5;175,5;15456,5;816,2;15,289;76,54;3751,0;2331,4
