DatGeracaoConjuntoDados;CodEmpreendimento;CodCEG;NomEmpreendimento;NumCoordNEmpreendimento;NumCoordEEmpreendimento;IdeStatusHist;IdeUFHist;NumProcesso;NomEmpreendimentoHist;MdaPotencia;DscCursoDagua;DscValorAtoAtivacao;DatAtoAtivacao;DatValidadeAtoOriginal;DscEmpreendedores1;DscEmpreendedores2;DscEmpreendedoresN;DscNumeroAtoProrrogado;DatValidadeProrrogada;DatPublicacaoProrrogada;IdSubBacia;DscSubBacia;DatCargaHistorico;IdeUF;SigUF;NomUF;IdcStatus;DscStatus
2026-07-01;048964;PCH.PH.SP.048964-6;São José;-22,06;-48,10;13;50;48500.005764/2021-10;São José;7,000;Jacaré Guaçu;3.047;25/08/2023;2031-08-25 00:00:00;Dimetal - Distribuidora de Produtos Metalúrgicos Ltda. - 50607050000100; -; -;;;;62;Parana, Tiete e outros;2026-06-30 09:43:52.357000000;50;SP;São Paulo;13;DRS-PCH
2026-07-01;048965;PCH.PH.SP.048965-4;São João;-23,16;-47,80;15;50;48500.003549/2001-14;São João;9,600;Sorocaba;823;04/11/2003;; -; -; -;;;;62;Parana, Tiete e outros;2026-06-30 09:43:52.357000000;50;SP;São Paulo;15;Eixo Disponível
2026-07-01;048966;PCH.PH.MG.048966-2;Rio Claro;-19,22;-47,81;15;26;48500.006318/2001-16;Rio Claro;21,000;Claro;556;06/09/2002;; -; -; -;;;;60;Paranaiba;2026-06-30 09:43:52.357000000;26;MG;Minas Gerais;15;Eixo Disponível
2026-07-01;048967;PCH.PH.GO.048967-0;Rochedo II;-17,44;-49,23;15;18;48500.001485/2009-91;Rochedo II;11,500;Meia Ponte;2698;14/09/2010;; -; -; -;;;;60;Paranaiba;2026-06-30 09:43:52.357000000;18;GO;Goiás;15;Eixo Disponível
2026-07-01;048968;PCH.PH.GO.048968-9;Saltador Alto;-17,29;-49,18;15;18;48500.001485/2009-91;Saltador Alto;17,000;Meia Ponte;2698;14/09/2010;; -; -; -;;;;60;Paranaiba;2026-06-30 09:43:52.357000000;18;GO;Goiás;15;Eixo Disponível
2026-07-01;048969;PCH.PH.MT.048969-7;Samambaia;-15,37;-53,52;13;32;48500.002692/2021-59;Samambaia;20,000;das Mortes;88;16/01/2023;2031-01-16 00:00:00;Malibu Não Tecidos Ltda - 38174180000109; -; -;;;;26;Araguaia, trecho da ilha Bananal;2026-06-30 09:43:52.357000000;32;MT;Mato Grosso;13;DRS-PCH
2026-07-01;048970;UHE.PH.GO.048970-0;Santa Barbara;-18,13;-50,19;15;18;48500.004252/2010-83;Santa Barbara;48,500;dos Bois;4.363;10/11/2014;; -; -; -;;;;60;Paranaiba;2026-06-30 09:43:52.357000000;18;GO;Goiás;15;Eixo Disponível
2026-07-01;048971;PCH.PH.MT.048971-9;Barra do Ariranha;-17,98;-53,80;15;32;48500.001026/2004-68;Barra do Ariranha;13,000;Taquari;411;18/05/2004;; -; -; -;;;;66;Alto Paraguai;2026-06-30 09:43:52.357000000;32;MT;Mato Grosso;15;Eixo Disponível
2026-07-01;048972;PCH.PH.SC.048972-7;Bonet;-26,57;-50,59;15;48;48500.001722/2003-48;Bonet;5,200;Tamanduá;2614;09/11/2006;; -; -; -;;;;65;Parana, Iguacu;2026-06-30 09:43:52.357000000;48;SC;Santa Catarina;15;Eixo Disponível
2026-07-01;048973;PCH.PH.TO.048973-5;Bonsucesso;-12,63;-46,68;15;51;48500.003643/2009-47;Bonsucesso;5,600;Palma;4.000;18/12/2012;; -; -; -;;;;21;Tocantins, entre os rios Preto e Parana;2026-06-30 09:43:52.357000000;51;TO;Tocantins;15;Eixo Disponível
2026-07-01;048974;PCH.PH.TO.048974-3;Brejão Jusante;-10,10;-47,05;15;51;48500.006277/2011-01;Brejão Jusante;19,700;do Sono;810;01/04/2014;; -; -; -;;;;22;Tocantins, entre os rios Parana e do Sono;2026-06-30 09:43:52.357000000;51;TO;Tocantins;15;Eixo Disponível
2026-07-01;048975;PCH.PH.MT.048975-1;Cabaçal 2;-15,28;-58,27;15;32;48500.001787/2016-98;Cabaçal 2;10,500;Cabaçal;3.200;20/08/2014;; -; -; -;;;;66;Alto Paraguai;2026-06-30 09:43:52.357000000;32;MT;Mato Grosso;15;Eixo Disponível
2026-07-01;048976;PCH.PH.SC.048976-0;Foz do Hercílio;-27,08;-49,49;15;48;48500.001700/2006-58;Foz do Hercílio;9,160;Itajaí-Açu;2.055;21/06/2012;; -; -; -;;;;83;Itajai;2026-06-30 09:43:52.357000000;48;SC;Santa Catarina;15;Eixo Disponível
2026-07-01;048977;PCH.PH.SP.048977-8;Peixe 3;-21,74;-51,44;15;50;48500.006121/2008-16;Peixe 3;9,900;do Peixe;1.471;14/05/2014;; -; -; -;;;;63;Parana, Verde , Peixe, e outros;2026-06-30 09:43:52.357000000;50;SP;São Paulo;15;Eixo Disponível
2026-07-01;048978;PCH.PH.SP.048978-6;Peixe 1;-21,63;-51,69;15;50;48500.006121/2008-16;Peixe 1;15,800;do Peixe;1.471;14/05/2014;; -; -; -;;;;63;Parana, Verde , Peixe, e outros;2026-06-30 09:43:52.357000000;50;SP;São Paulo;15;Eixo Disponível
2026-07-01;048979;PCH.PH.SP.048979-4;Peixe 4;-21,75;-51,22;15;50;48500.006121/2008-16;Peixe 4;11,800;do Peixe;1.471;14/05/2014;; -; -; -;;;;63;Parana, Verde , Peixe, e outros;2026-06-30 09:43:52.357000000;50;SP;São Paulo;15;Eixo Disponível
2026-07-01;048980;PCH.PH.SP.048980-8;Peixe 5;-21,89;-51,10;15;50;48500.006121/2008-16;Peixe 5;5,500;do Peixe;1.471;14/05/2014;; -; -; -;;;;63;Parana, Verde , Peixe, e outros;2026-06-30 09:43:52.357000000;50;SP;São Paulo;15;Eixo Disponível
2026-07-01;048981;PCH.PH.SP.048981-6;Peixe 6;-21,96;-50,91;15;50;48500.006121/2008-16;Peixe 6;7,900;do Peixe;1.471;14/05/2014;; -; -; -;;;;63;Parana, Verde , Peixe, e outros;2026-06-30 09:43:52.357000000;50;SP;São Paulo;15;Eixo Disponível
2026-07-01;048982;PCH.PH.SP.048982-4;Peixe 8;-22,06;-50,61;15;50;48500.006121/2008-16;Peixe 8;7,100;do Peixe;1.471;14/05/2014;; -; -; -;;;;63;Parana, Verde , Peixe, e outros;2026-06-30 09:43:52.357000000;50;SP;São Paulo;15;Eixo Disponível
2026-07-01;048983;PCH.PH.GO.048983-2;São Domingos III;,00;,00;15;18;48500.002909/2000-61;São Domingos III;16,000;São Domingos;120;13/03/2001;; -; -; -;;;;21;Tocantins, entre os rios Preto e Parana;2026-06-30 09:43:52.357000000;18;GO;Goiás;15;Eixo Disponível
2026-07-01;048987;PCH.PH.RS.048987-5;Chapada;-28,03;-53,05;15;46;48500.005533/2002-36;Chapada;7,500;da Várzea;964;11/12/2003;; -; -; -;;;;74;Uruguai, Varzea, Turvo e outros;2026-06-30 09:43:52.357000000;46;RS;Rio Grande do Sul;15;Eixo Disponível
2026-07-01;048988;PCH.PH.MT.048988-3;Córrego Fundo;-15,20;-54,07;11;32;48500.003004/2023-30;Córrego Fundo;5,400;Cumbuco;2.330  (Comunicado nº 29/2025);13/07/2023;;Hidroelétrica Geóloga Lucimar Gomes Ltda - 22134516000161; -; -;;;;26;Araguaia, trecho da ilha Bananal;2026-06-30 09:43:52.357000000;32;MT;Mato Grosso;11;DRI-PCH
2026-07-01;048989;PCH.PH.BA.048989-1;Córrego Grande;-17,25;-39,78;15;10;48500.000511/2002-16;Córrego Grande;5,700;Jucuruçu do Sul;569;18/09/2002;; -; -; -;;;;55;Sao mateus, Itanhem e outros;2026-06-30 09:43:52.357000000;10;BA;Bahia;15;Eixo Disponível
2026-07-01;048990;PCH.PH.MT.048990-5;Couro de Porco;-15,35;-53,65;15;32;48500.002942/2009-64;Couro de Porco;22,900;das Mortes;4.899;23/12/2014;; -; -; -;;;;26;Araguaia, trecho da ilha Bananal;2026-06-30 09:43:52.357000000;32;MT;Mato Grosso;15;Eixo Disponível
