Protocolo_S2iD;Nome_Municipio;Sigla_UF;Cod_Cobrade;tipologia;descricao_tipologia;grupo_de_desastre;Cod_IBGE_Mun;Status;DH_MORTOS;DH_FERIDOS;DH_ENFERMOS;DH_DESABRIGADOS;DH_DESALOJADOS;DH_DESAPARECIDOS;DH_total_danos_humanos_diretos;DH_OUTROS AFETADOS;DM_total_danos_materiais;PEPL_total_publico;PEPR_total_privado;PE_PLePR;data_evento;data_registro;recorte
RS-F-4322608-12200-20170612;Venâncio Aires;RS;12200;2.00;Enxurradas;Hidrológico;4322608;Reconhecido;0;0;0;0;7;0;7;752;82726,64;98992,72;6659441,08;6758433,79;2017-06-12;2017-06-22;historico_hidrologico
RS-F-4301008-12100-20200708;Arroio do Meio;RS;12100;7.00;Inundações;Hidrológico;4301008;Reconhecido;0;10;0;120;870;0;1000;3780;4464212,18;421694,04;14525718,33;14947412,36;2020-07-08;2020-07-08;historico_hidrologico
RS-F-4302402-12100-20200708;Bom Retiro do Sul;RS;12100;7.00;Inundações;Hidrológico;4302402;Reconhecido;0;0;0;6;278;0;284;300;1486488,77;688552,75;3633134,03;4321686,78;2020-07-10;2020-07-10;historico_hidrologico
RS-F-4305587-12100-20200709;Colinas;RS;12100;7.00;Inundações;Hidrológico;4305587;Reconhecido;1;0;0;0;120;0;121;220;63127,85;114261,41;1670697,49;1784958,9;2020-07-10;2020-07-10;historico_hidrologico
RS-F-4312609-12100-20200708;Muçum;RS;12100;7.00;Inundações;Hidrológico;4312609;Reconhecido;0;0;0;200;1630;0;1830;0;2257754,94;688093,57;3661415,31;4349508,88;2020-07-11;2020-07-11;historico_hidrologico
RS-F-4315800-12100-20200708;Roca Sales;RS;12100;7.00;Inundações;Hidrológico;4315800;Reconhecido;0;1;0;40;2200;0;2241;0;15125432,9;64489,11;10620250,75;10684739,86;2020-07-11;2020-07-11;historico_hidrologico
RS-F-4306205-12100-20200713;Cruzeiro do Sul;RS;12100;7.00;Inundações;Hidrológico;4306205;Reconhecido;0;0;0;60;450;0;510;5205;18262024,48;940604,97;387352,49;1327957,46;2020-07-14;2020-07-14;historico_hidrologico
RS-F-4306809-12100-20200709;Encantado;RS;12100;7.00;Inundações;Hidrológico;4306809;Reconhecido;0;0;0;372;348;0;720;2080;13809217,23;795410,91;63127850,18;63923261,09;2020-07-14;2020-07-14;historico_hidrologico
RS-F-4321303-12100-20200709;Taquari;RS;12100;7.00;Inundações;Hidrológico;4321303;Reconhecido;0;0;0;19;54;0;73;383;757534,2;7827,85;2558009,93;2565837,78;2020-07-14;2020-07-14;historico_hidrologico
RS-F-4307807-12100-20200709;Estrela;RS;12100;7.00;Inundações;Hidrológico;4307807;Reconhecido;0;0;0;105;4023;0;4128;0;55989352,88;845958,64;646246,12;1492204,76;2020-07-14;2020-07-14;historico_hidrologico
RS-F-4311403-12100-20200707;Lajeado;RS;12100;7.00;Inundações;Hidrológico;4311403;Reconhecido;0;0;0;320;1500;0;1820;40000;12764451,31;300655,03;14835044,79;15135699,83;2020-07-16;2020-07-16;historico_hidrologico
RS-F-4322608-12100-20200709;Venâncio Aires;RS;12100;7.00;Inundações;Hidrológico;4322608;Reconhecido;0;0;0;34;435;0;469;1275;227032,13;76053,71;4436379,11;4512432,82;2020-07-28;2020-07-28;historico_hidrologico
RS-F-4307807-12100-20210910;Estrela;RS;12100;7.00;Inundações;Hidrológico;4307807;Reconhecido;0;0;0;0;0;0;0;1800;8578783,98;8578783,98;20284004,38;28862788,36;2021-09-16;2021-09-16;historico_hidrologico
RS-F-4311403-12300-20220503;Lajeado;RS;12300;1.00;Alagamentos;Hidrológico;4311403;Registro;0;0;2;176;70;0;248;0;0,0;0,0;0,0;0,0;2022-05-03;2022-05-16;historico_hidrologico
RS-F-4322608-13214-20221202;Venâncio Aires;RS;13214;13.00;Chuvas Intensas;Hidrológico;4322608;Reconhecido;1;2;0;0;102;0;105;0;244120,78;676516,88;11963033,7;12639550,58;2022-12-02;2022-12-08;historico_hidrologico
RS-F-4302352-12200-20230616;Bom Princípio;RS;12200;2.00;Enxurradas;Hidrológico;4302352;Reconhecido;0;0;0;0;2;0;2;1000;950227,17;253393,91;527903,99;781297,9;2023-06-16;2023-06-19;historico_hidrologico
RS-F-4322608-12200-20230616;Venâncio Aires;RS;12200;2.00;Enxurradas;Hidrológico;4322608;Reconhecido;0;0;0;0;22;0;22;700;0,0;64139,12;364214,16;428353,28;2023-06-16;2023-06-19;historico_hidrologico
RS-F-4305587-11340-20230617;Colinas;RS;11340;8.00;Movimento de Massa;Hidrológico;4305587;Reconhecido;0;0;0;0;0;0;0;31;263951,99;0,0;0,0;0,0;2023-06-17;2023-06-23;historico_hidrologico
RS-F-4311403-12100-20230712;Lajeado;RS;12100;7.00;Inundações;Hidrológico;4311403;Registro;1;0;0;135;50;0;186;0;0,0;0,0;0,0;0,0;2023-07-12;2023-07-17;historico_hidrologico
RS-F-4311403-11321-20230724;Lajeado;RS;11321;8.00;Movimento de Massa;Hidrológico;4311403;Registro;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;2023-07-24;2023-07-27;historico_hidrologico
RS-F-4311403-12200-20230811;Lajeado;RS;12200;2.00;Enxurradas;Hidrológico;4311403;Registro;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;2023-08-11;2023-08-11;historico_hidrologico
RS-F-4306809-13214-20230904;Encantado;RS;13214;13.00;Chuvas Intensas;Hidrológico;4306809;Reconhecido;1;0;0;509;1395;0;1905;21057;48683305,54;2808449,2;459300750,94;462109200,14;2023-09-04;2023-09-07;historico_hidrologico
RS-F-4306205-13214-20230904;Cruzeiro do Sul;RS;13214;13.00;Chuvas Intensas;Hidrológico;4306205;Reconhecido;4;9;2;383;2853;1;3252;3338;126646277,73;3159083,03;36214846,89;39373929,92;2023-09-04;2023-09-06;historico_hidrologico
RS-F-4305587-13214-20230904;Colinas;RS;13214;13.00;Chuvas Intensas;Hidrológico;4305587;Reconhecido;0;30;0;6;311;0;347;1800;3494724,38;272398,46;12141791,67;12414190,12;2023-09-04;2023-09-07;historico_hidrologico
RS-F-4322608-13214-20230904;Venâncio Aires;RS;13214;13.00;Chuvas Intensas;Hidrológico;4322608;Reconhecido;0;5;0;120;1850;0;1975;810;0,0;0,0;0,0;0,0;2023-09-04;2023-09-07;historico_hidrologico
RS-F-4302402-13214-20230904;Bom Retiro do Sul;RS;13214;13.00;Chuvas Intensas;Hidrológico;4302402;Reconhecido;0;155;73;182;509;0;919;675;17377965,72;3663653,66;9998501,48;13662155,14;2023-09-04;2023-09-09;historico_hidrologico
RS-F-4311403-13214-20230904;Lajeado;RS;13214;13.00;Chuvas Intensas;Hidrológico;4311403;Reconhecido;0;2;0;870;3390;0;4262;0;131448092,38;24811487,32;0,0;24811487,32;2023-09-04;2023-09-06;historico_hidrologico
RS-F-4315800-13214-20230904;Roca Sales;RS;13214;13.00;Chuvas Intensas;Hidrológico;4315800;Reconhecido;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;2023-09-04;2023-09-07;historico_hidrologico
RS-F-4301008-13214-20230905;Arroio do Meio;RS;13214;13.00;Chuvas Intensas;Hidrológico;4301008;Reconhecido;0;30;0;600;7000;1;7631;10000;35609235,44;2174964,42;216787466,96;218962431,38;2023-09-05;2023-09-07;historico_hidrologico
RS-F-4307807-13214-20230906;Estrela;RS;13214;13.00;Chuvas Intensas;Hidrológico;4307807;Reconhecido;4;309;49;670;392;0;1424;32183;31715679,59;7347774,81;48641073,22;55988848,03;2023-09-06;2023-09-07;historico_hidrologico
RS-F-4312609-13214-20230906;Muçum;RS;13214;13.00;Chuvas Intensas;Hidrológico;4312609;Reconhecido;14;150;100;150;3000;1;3415;0;2428358,33;765460,78;791855978,2;792621438,98;2023-09-06;2023-09-06;historico_hidrologico
RS-F-4321303-13214-20230906;Taquari;RS;13214;13.00;Chuvas Intensas;Hidrológico;4321303;Reconhecido;0;5;10;95;439;0;549;0;7354758,33;507843,63;3510471,76;4018315,39;2023-09-06;2023-09-08;historico_hidrologico
RS-F-4321303-12100-20230906;Taquari;RS;12100;7.00;Inundações;Hidrológico;4321303;Reconhecido;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;2023-09-06;2023-09-06;historico_hidrologico
RS-F-4311403-12100-20231007;Lajeado;RS;12100;7.00;Inundações;Hidrológico;4311403;Registro;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;2023-10-07;2023-10-08;historico_hidrologico
RS-F-4311403-12100-20231012;Lajeado;RS;12100;7.00;Inundações;Hidrológico;4311403;Registro;0;0;0;70;30;0;100;0;0,0;0,0;0,0;0,0;2023-10-12;2023-10-23;historico_hidrologico
RS-F-4311403-12100-20231017;Lajeado;RS;12100;7.00;Inundações;Hidrológico;4311403;Registro;0;0;0;20;10;0;30;0;0,0;0,0;0,0;0,0;2023-10-17;2023-10-23;historico_hidrologico
RS-F-4307807-13214-20231116;Estrela;RS;13214;13.00;Chuvas Intensas;Hidrológico;4307807;Reconhecido;0;0;676;401;235;0;1312;0;683107,76;63348,48;69290459,94;69353808,41;2023-11-16;2023-11-20;historico_hidrologico
RS-F-4311403-13214-20231116;Lajeado;RS;13214;13.00;Chuvas Intensas;Hidrológico;4311403;Registro;0;0;0;0;10;0;10;0;49622,97;0,0;0,0;0,0;2023-11-16;2023-11-17;historico_hidrologico
RS-F-4304697-13214-20231117;Capitão;RS;13214;13.00;Chuvas Intensas;Hidrológico;4304697;Reconhecido;0;0;0;0;50;0;50;2871;1383108,44;1689081,59;12293300,11;13982381,7;2023-11-17;2023-12-06;historico_hidrologico
RS-F-4321626-13214-20231117;Travesseiro;RS;13214;13.00;Chuvas Intensas;Hidrológico;4321626;Reconhecido;0;0;0;0;15;0;15;2137;126696,96;126696,96;4569948,66;4696645,62;2023-11-17;2023-11-23;historico_hidrologico
RS-F-4312054-13214-20231117;Marques de Souza;RS;13214;13.00;Chuvas Intensas;Hidrológico;4312054;Reconhecido;0;0;0;0;0;0;0;25;600695,22;600695,22;1866351,75;2467046,97;2023-11-17;2023-11-22;historico_hidrologico
RS-F-4306809-13214-20231118;Encantado;RS;13214;13.00;Chuvas Intensas;Hidrológico;4306809;Reconhecido;0;0;0;681;923;0;1604;3800;13904990,98;3853699,09;78474078,27;82327777,36;2023-11-18;2023-11-21;historico_hidrologico
RS-F-4305587-13214-20231118;Colinas;RS;13214;13.00;Chuvas Intensas;Hidrológico;4305587;Reconhecido;0;0;0;25;350;0;375;1800;2175822,14;95022,72;2008199,59;2103222,31;2023-11-18;2023-11-20;historico_hidrologico
RS-F-4302402-12200-20231118;Bom Retiro do Sul;RS;12200;2.00;Enxurradas;Hidrológico;4302402;Reconhecido;0;15;3;5;470;0;493;690;1649488,79;1376773,59;3975117,01;5351890,6;2023-11-18;2023-11-20;historico_hidrologico
RS-F-4302352-13214-20231118;Bom Princípio;RS;13214;13.00;Chuvas Intensas;Hidrológico;4302352;Reconhecido;0;0;0;4;0;0;4;343;4095479,12;4106013,98;8991419,05;13097433,03;2023-11-18;2023-11-22;historico_hidrologico
RS-F-4301008-13214-20231119;Arroio do Meio;RS;13214;13.00;Chuvas Intensas;Hidrológico;4301008;Reconhecido;0;0;0;553;4500;0;5053;10000;1854662,9;422323,19;57448556,25;57870879,44;2023-11-19;2023-11-21;historico_hidrologico
RS-F-4306205-12100-20231120;Cruzeiro do Sul;RS;12100;7.00;Inundações;Hidrológico;4306205;Reconhecido;0;1;0;257;2732;0;2990;3405;59519062,75;2323833,34;30828009,04;33151842,38;2023-11-20;2023-11-21;historico_hidrologico
RS-F-4321303-13214-20231120;Taquari;RS;13214;13.00;Chuvas Intensas;Hidrológico;4321303;Reconhecido;0;0;0;66;39;0;105;510;9252532,63;83408,83;7464824,19;7548233,02;2023-11-20;2023-11-20;historico_hidrologico
RS-F-4315800-13214-20231120;Roca Sales;RS;13214;13.00;Chuvas Intensas;Hidrológico;4315800;Reconhecido;0;0;0;63;500;0;563;0;63612430,25;26131247,28;50250568,01;76381815,29;2023-11-20;2023-11-23;historico_hidrologico
RS-F-4311403-12200-20240407;Lajeado;RS;12200;2.00;Enxurradas;Hidrológico;4311403;Registro;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;2024-04-07;2024-04-08;2024_hidrologico
RS-F-4311403-12200-20240423;Lajeado;RS;12200;2.00;Enxurradas;Hidrológico;4311403;Registro;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;2024-04-23;2024-04-24;2024_hidrologico
RS-F-4315800-13214-20240428;Roca Sales;RS;13214;13.00;Chuvas Intensas;Hidrológico;4315800;Reconhecido;14;14;0;350;3000;2;3380;0;0,0;0,0;0,0;0,0;2024-04-28;2024-05-05;2024_hidrologico
RS-F-4304697-13214-20240429;Capitão;RS;13214;13.00;Chuvas Intensas;Hidrológico;4304697;Reconhecido;2;15;0;32;106;0;155;2789;0,0;0,0;0,0;0,0;2024-04-29;2024-05-06;2024_hidrologico
RS-F-4302352-13214-20240429;Bom Princípio;RS;13214;13.00;Chuvas Intensas;Hidrológico;4302352;Reconhecido;1;0;0;171;468;0;640;63;5361444,05;247989,89;20743814,64;20991804,52;2024-04-29;2024-05-03;2024_hidrologico
RS-F-4306205-13214-20240430;Cruzeiro do Sul;RS;13214;13.00;Chuvas Intensas;Hidrológico;4306205;Reconhecido;13;0;0;800;2987;5;3805;12331;0,0;0,0;0,0;0,0;2024-04-30;2024-05-01;2024_hidrologico
RS-F-4312054-13214-20240430;Marques de Souza;RS;13214;13.00;Chuvas Intensas;Hidrológico;4312054;Reconhecido;1;20;0;400;150;1;572;3497;0,0;0,0;0,0;0,0;2024-04-30;2024-04-30;2024_hidrologico
RS-F-4320453-12200-20240430;Sério;RS;12200;2.00;Enxurradas;Hidrológico;4320453;Reconhecido;0;0;0;0;41;0;41;2240;0,0;0,0;0,0;0,0;2024-04-30;2024-05-03;2024_hidrologico
RS-F-4321626-13214-20240430;Travesseiro;RS;13214;13.00;Chuvas Intensas;Hidrológico;4321626;Reconhecido;1;20;3;40;350;0;414;2152;0,0;0,0;0,0;0,0;2024-04-30;2024-05-03;2024_hidrologico
RS-F-4312609-13214-20240430;Muçum;RS;13214;13.00;Chuvas Intensas;Hidrológico;4312609;Reconhecido;0;0;0;306;3520;0;3826;965;66196503,83;2173616,54;110656842,22;112830458,77;2024-04-30;2024-05-02;2024_hidrologico
RS-F-4302402-13214-20240430;Bom Retiro do Sul;RS;13214;13.00;Chuvas Intensas;Hidrológico;4302402;Registro;0;0;0;11;497;0;508;730;11500407,53;276642,11;4510254,33;4786896,43;2024-04-30;2024-05-01;2024_hidrologico
RS-F-4301008-13214-20240430;Arroio do Meio;RS;13214;13.00;Chuvas Intensas;Hidrológico;4301008;Reconhecido;1;0;0;1000;12000;0;13001;0;0,0;0,0;0,0;0,0;2024-04-30;2024-05-01;2024_hidrologico
RS-F-4322608-13214-20240430;Venâncio Aires;RS;13214;13.00;Chuvas Intensas;Hidrológico;4322608;Reconhecido;5;19;0;391;23235;0;23650;0;0,0;0,0;0,0;0,0;2024-04-30;2024-05-04;2024_hidrologico
RS-F-4312153-13214-20240430;Mato Leitão;RS;13214;13.00;Chuvas Intensas;Hidrológico;4312153;Reconhecido;0;0;0;0;48;0;48;0;0,0;0,0;12762685,94;12762685,94;2024-04-30;2024-05-06;2024_hidrologico
